Date,Open,High,Low,Close,Adj Close,Volume
28-12-2021,6980,6980,6861.75,6906.649902,6881.593262,862464
29-12-2021,6884.899902,6949.950195,6853.049805,6911.649902,6886.575195,532379
30-12-2021,6899.899902,6944.950195,6856.899902,6871.100098,6846.172363,658992
31-12-2021,6882,6999,6875.549805,6977.299805,6951.986816,769907
03-01-2022,6975,7243.950195,6975,7219.600098,7193.408203,1269725
04-01-2022,7250,7375,7235.5,7343,7316.360352,959173
05-01-2022,7469.899902,7691.149902,7415,7670.799805,7642.970703,2583262
06-01-2022,7525,7779.350098,7521,7748.25,7720.140137,1535986
07-01-2022,7763.950195,7785,7585,7659.350098,7631.562988,1165951
10-01-2022,7686,7759,7669.75,7731.299805,7703.251465,639060
11-01-2022,7739,7759.950195,7571,7669.850098,7642.024902,1037912
12-01-2022,7726,7869,7691.799805,7774.5,7746.294922,1458404
13-01-2022,7828,7849.549805,7774,7808.350098,7780.021973,616374
14-01-2022,7775,7846.100098,7728.5,7832.200195,7803.785645,569635
17-01-2022,7819.5,7910,7801.549805,7852.600098,7824.111816,679774
18-01-2022,7899.950195,7945,7716.049805,7744,7715.905762,1130024
19-01-2022,7850,8045,7473,7571.799805,7544.330078,5000317
20-01-2022,7610,7650,7401,7530.25,7502.931152,2910383
21-01-2022,7402.5,7499,7305.850098,7373.75,7346.999023,1370450
24-01-2022,7350,7350,6817.700195,6931.75,6906.602539,2502582
25-01-2022,6900,6996,6752.200195,6963.75,6938.486328,2525934
27-01-2022,6823.600098,6902.350098,6708.100098,6837,6812.196289,1761028
28-01-2022,6961.049805,7045.600098,6845,6867.25,6842.336426,1467522
31-01-2022,6979.899902,7075.899902,6930.100098,7000.25,6974.854004,1251249
01-02-2022,7075.899902,7115.799805,6886,7014.600098,6989.151855,1383449
02-02-2022,7100,7280,7095,7247.450195,7221.157227,1339821
03-02-2022,7253,7287.049805,7100,7110.649902,7084.853027,839856
04-02-2022,7090,7188.399902,7055,7158.399902,7132.430176,823208
07-02-2022,7165,7165,6881,6930.600098,6905.456543,1183012
08-02-2022,7000,7147,6914.700195,7055,7029.405273,1640542
09-02-2022,7128.549805,7157.899902,7070,7117.350098,7091.529297,649166
10-02-2022,7135,7240,7065,7137,7111.10791,1244200
